short_window,long_window,trend_window,rsi_buy,rsi_sell,cross_persist,tp_pct,sl_pct,use_vol_filter,max_candles,trades,win_rate,total_pnl,final_portf,sharpe,max_drawdown,avg_candles
10,100,200,55,45,2,0.03,0.03,False,192,66,37.9,-28.89,971.11,-1.47,-4.4,129.5
20,50,200,55,45,2,0.08,0.01,False,192,116,20.7,-36.97,963.03,-1.48,-3.57,94.1
20,50,200,55,45,2,0.08,0.02,False,96,121,32.2,-36.45,963.55,-1.48,-3.7,78.5
20,50,100,55,45,2,0.03,0.02,False,384,123,33.3,-38.5,961.5,-1.49,-4.27,117.4
10,50,200,55,45,2,0.08,0.01,False,96,123,30.9,-27.18,972.82,-1.49,-2.85,64.9
10,50,200,55,45,2,0.08,0.02,False,96,120,37.5,-32.71,967.29,-1.52,-3.36,78.5
10,100,200,55,45,2,0.03,0.01,False,96,67,28.4,-18.4,981.6,-1.54,-2.65,56.6
10,100,200,55,45,2,0.03,0.02,False,192,66,33.3,-28.62,971.38,-1.55,-4.11,105.4
20,50,100,55,45,2,0.08,0.01,False,192,127,19.7,-38.82,961.18,-1.56,-4.55,83.0
20,100,200,55,45,2,0.03,0.02,False,384,55,36.4,-29.9,970.1,-1.57,-3.88,130.3
10,50,100,55,45,2,0.05,0.02,False,96,131,38.2,-33.7,966.3,-1.58,-4.28,75.7
20,50,200,55,45,2,0.08,0.03,False,384,105,29.5,-59.99,940.01,-1.59,-5.94,222.4
10,50,200,55,45,2,0.08,0.03,False,192,110,34.5,-46.89,953.11,-1.6,-5.63,143.8
10,50,100,55,45,2,0.08,0.02,False,96,131,38.2,-33.95,966.05,-1.6,-4.28,76.7
10,100,200,55,45,2,0.05,0.01,False,96,67,26.9,-20.12,979.88,-1.63,-2.74,60.9
20,50,200,55,45,2,0.05,0.02,False,96,122,32.8,-37.62,962.38,-1.63,-3.81,76.4
20,100,200,55,45,2,0.03,0.02,False,192,55,36.4,-29.29,970.71,-1.64,-3.76,109.7
20,50,200,55,45,2,0.03,0.03,False,96,121,34.7,-35.39,964.61,-1.66,-3.59,80.8
