type,timestamp,price,btc_amount,pct_per_trade,cash_in,cash_out
sell,2017-11-06 17:00:00,7161.02,0.005054352218027756,0.05,,36.19431732034113
buy,2017-11-07 04:30:00,7128.99,0.00447818465649292,0.05,31.924933634291467,
sell,2017-11-07 14:00:00,6997.97,0.0050255438399510145,0.05,,35.168605025662
buy,2017-11-08 00:30:00,7085.0,0.004528880339288638,0.05,32.08711720386,
sell,2017-11-08 19:15:00,7188.96,0.005000710664917895,0.05,,35.949908941668156
buy,2017-11-09 02:45:00,7326.01,0.004406253443654922,0.05,32.2802567907504,
sell,2017-11-09 10:15:00,7180.08,0.004970987803854746,0.05,,35.692090110701386
buy,2017-11-09 20:30:00,7136.12,0.0045474078990751215,0.05,32.450848456747956,
sell,2017-11-09 23:15:00,7079.96,0.0049498088086157655,0.05,,35.044448372647274
buy,2017-11-10 02:45:00,7217.0,0.004514414362275588,0.05,32.580528452542914,
sell,2017-11-10 09:45:00,7059.99,0.004928039086298757,0.05,,34.79190666887836
buy,2017-11-11 02:15:00,6689.0,0.004887292175715307,0.05,32.69109736335969,
sell,2017-11-11 09:45:00,6616.51,0.004926001740769584,0.05,,32.59293977781936
buy,2017-11-12 11:00:00,6389.98,0.0051152256320180466,0.05,32.686189484082675,
sell,2017-11-12 19:15:00,6100.13,0.004935462935332008,0.05,,30.106965515706843
buy,2017-11-13 05:00:00,6110.29,0.0053282623714527265,0.05,32.55722828566388,
sell,2017-11-13 19:45:00,6366.97,0.004955102907138044,0.05,,31.548991556660713
buy,2017-11-14 00:45:00,6610.99,0.004917087523837386,0.05,32.50681644921372,
sell,2017-11-14 09:15:00,6468.68,0.004953202137973011,0.05,,32.04067960586326
buy,2017-11-14 18:45:00,6477.44,0.0050148684676424955,0.05,32.4835096070462,
sell,2017-11-16 03:00:00,7170.0,0.004956285454456485,0.05,,35.536566708452995
buy,2017-11-16 07:15:00,7278.0,0.004484221278114391,0.05,32.63616246211654,
sell,2017-11-17 07:45:00,7498.0,0.00493268224563938,0.05,,36.98525147780407
buy,2017-11-17 15:15:00,7880.08,0.004169198398100135,0.05,32.85361691290091,
sell,2017-11-17 21:00:00,7726.56,0.004894508053262418,0.05,,37.817710144015265
buy,2017-11-18 08:30:00,7728.0,0.004283362004976272,0.05,33.10182157445663,
sell,2017-11-18 17:00:00,7645.55,0.004863950750848111,0.05,,37.18757866314677
buy,2017-11-18 20:15:00,7725.53,0.004311174693372641,0.05,33.30610942889113,
sell,2017-11-19 07:00:00,7690.0,0.004836311947974337,0.05,,37.19123887992265
buy,2017-11-19 14:00:00,7776.41,0.004307947484950344,0.05,33.500365901442706,
sell,2017-11-20 05:45:00,7997.11,0.004809893724823138,0.05,,38.46524920572036
buy,2017-11-20 09:15:00,8065.99,0.004184062968917218,0.05,33.74861006665659,
sell,2017-11-21 03:00:00,8067.27,0.004778602187027841,0.05,,38.55027406534409
buy,2017-11-21 10:15:00,8238.81,0.004125437201075273,0.05,33.988693266590964,
sell,2017-11-21 21:15:00,8200.04,0.004745943937730213,0.05,,38.91693012714526
buy,2017-11-22 06:45:00,8215.49,0.004167140987283617,0.05,34.23510510961868,
sell,2017-11-22 15:30:00,8229.98,0.004717003790207883,0.05,,38.82084685333507
buy,2017-11-22 23:45:00,8205.92,0.004199942504533862,0.05,34.4643921968045,
sell,2017-11-23 08:00:00,8118.33,0.004691150725924182,0.05,,38.08430967279206
buy,2017-11-23 17:30:00,8136.1,0.004258230364745256,0.05,34.64538807060388,
sell,2017-11-23 21:15:00,8113.01,0.004669504707865235,0.05,,37.88373838995773
buy,2017-11-24 06:45:00,8208.94,0.004240170544135,0.05,34.807305586571566,
sell,2017-11-24 13:45:00,8150.0,0.004648037999678723,0.05,,37.881509697381595
buy,2017-11-24 20:30:00,8176.09,0.004276006721074753,0.05,34.96101579211207,
sell,2017-11-25 02:45:00,8130.25,0.004629436435748525,0.05,,37.638475581744444
buy,2017-11-25 07:00:00,8247.41,0.004255261807233263,0.05,35.09488878159368,
sell,2017-11-27 12:15:00,9526.58,0.004610727704322762,0.05,,43.924466333447135
buy,2017-11-27 15:15:00,9609.98,0.0036978607301145646,0.05,35.53636765918636,
sell,2017-11-27 20:15:00,9540.06,0.004565084355612352,0.05,,43.55117865760317
buy,2017-11-27 20:45:00,9568.2,0.0037558901579301434,0.05,35.9371082091072,
sell,2017-11-29 19:00:00,9931.01,0.004524624645728241,0.05,,44.93409260297362
buy,2017-11-30 03:45:00,10404.98,0.0034970713474509816,0.05,36.386957428800514,
sell,2017-11-30 10:00:00,10032.0,0.004473246980814378,0.05,,44.87561371152984
buy,2017-11-30 21:45:00,9630.0,0.0038225742723714414,0.05,36.81139024293698,
sell,2017-12-01 06:45:00,9449.93,0.004440713345392231,0.05,,41.964430264022404
buy,2017-12-01 11:15:00,9941.09,0.0037288710034806293,0.05,37.06904224399125,
sell,2017-12-02 08:30:00,10935.79,0.004405121228296651,0.05,,48.17348067719424
buy,2017-12-02 09:15:00,11100.02,0.0033895672409285206,0.05,37.6242641656514,
sell,2017-12-02 15:45:00,10709.73,0.004354343528928244,0.05,,46.63384352206868
buy,2017-12-02 22:00:00,11011.81,0.003457628049655076,0.05,38.07474313347226,
sell,2017-12-03 22:00:00,10778.76,0.004309507754964586,0.05,,46.45114980890209
buy,2017-12-04 05:45:00,11459.98,0.003358955553783144,0.05,38.49356346724375,
sell,2017-12-04 12:30:00,11160.0,0.004261980144905514,0.05,,47.56369841714554
buy,2017-12-04 21:30:00,11499.99,0.003386704702763989,0.05,38.947070214738844,
sell,2017-12-05 19:30:00,11748.43,0.004218216372798437,0.05,,49.55741978067635
buy,2017-12-05 21:45:00,11722.51,0.0033676736204989993,0.05,39.47758769303572,
sell,2017-12-05 22:30:00,11690.47,0.004175689235183465,0.05,,48.81576973323524
buy,2017-12-05 23:15:00,11734.99,0.003403879917668928,0.05,39.944496795045694,
sell,2017-12-06 00:30:00,11790.4,0.004137098769307739,0.05,,48.77804932964596
buy,2017-12-06 00:45:00,11815.2,0.0034181541084176066,0.05,40.386174421775706,
sell,2017-12-08 06:45:00,15880.01,0.004101151536263232,0.05,,65.12632740737548
buy,2017-12-08 18:15:00,14850.0,0.0028029078835727747,0.05,41.6231820710557,
sell,2017-12-09 06:00:00,15346.05,0.004036239353628709,0.05,,61.94033093275385
buy,2017-12-10 00:30:00,14000.0,0.0030456456795814723,0.05,42.63903951414061,
sell,2017-12-10 02:45:00,13258.07,0.003986709669926348,0.05,,52.856075873560414
buy,2017-12-10 12:15:00,13470.99,0.0032031715064825676,0.05,43.1498913321116,
sell,2017-12-11 00:45:00,15312.02,0.003947532761754159,0.05,,60.44470059863492
buy,2017-12-11 02:30:00,16015.01,0.002748336204313189,0.05,44.014631795437765,
sell,2017-12-11 14:45:00,16201.0,0.003887572933882111,0.05,,62.98256910182408
buy,2017-12-11 19:15:00,16597.97,0.0027089474592830983,0.05,44.96302866075709,
sell,2017-12-12 03:30:00,16384.15,0.00382864166015216,0.05,,62.72903925618202
buy,2017-12-12 10:00:00,16797.99,0.002729572358986303,0.05,45.85132919052833,
sell,2017-12-12 14:45:00,16389.0,0.003773688195093867,0.05,,61.84697582939339
